DPU, MAX_COROUTINE=1, nprobe=4, qps=1629.00, latency=75.67
DPU, MAX_COROUTINE=1, nprobe=5, qps=1276.00, latency=79.22
DPU, MAX_COROUTINE=1, nprobe=8, qps=791.00, latency=103.82
DPU, MAX_COROUTINE=1, nprobe=11, qps=584.00, latency=120.63
DPU, MAX_COROUTINE=2, nprobe=4, qps=2543.00, latency=70.66
DPU, MAX_COROUTINE=2, nprobe=5, qps=2160.00, latency=74.68
DPU, MAX_COROUTINE=2, nprobe=8, qps=1480.00, latency=90.61
DPU, MAX_COROUTINE=2, nprobe=11, qps=1158.00, latency=106.42
DPU, MAX_COROUTINE=4, nprobe=4, qps=3234.00, latency=83.32
DPU, MAX_COROUTINE=4, nprobe=5, qps=2698.00, latency=93.26
DPU, MAX_COROUTINE=4, nprobe=8, qps=1778.00, latency=123.31
DPU, MAX_COROUTINE=4, nprobe=11, qps=1313.00, latency=152.78
DPU, MAX_COROUTINE=8, nprobe=4, qps=3378.00, latency=126.34
DPU, MAX_COROUTINE=8, nprobe=5, qps=2730.00, latency=152.63
DPU, MAX_COROUTINE=8, nprobe=8, qps=1745.00, latency=214.99
DPU, MAX_COROUTINE=8, nprobe=11, qps=1263.00, latency=282.11
DPU, MAX_COROUTINE=16, nprobe=4, qps=3160.00, latency=244.05
DPU, MAX_COROUTINE=16, nprobe=5, qps=2622.00, latency=287.28
DPU, MAX_COROUTINE=16, nprobe=8, qps=1667.00, latency=429.61
DPU, MAX_COROUTINE=16, nprobe=11, qps=1233.00, latency=533.29
