DPU, MAX_COROUTINE=1, nprobe=4, qps=1590.00, latency=74.13
DPU, MAX_COROUTINE=1, nprobe=5, qps=1282.00, latency=83.36
DPU, MAX_COROUTINE=1, nprobe=8, qps=798.00, latency=99.49
DPU, MAX_COROUTINE=1, nprobe=11, qps=578.00, latency=119.33
DPU, MAX_COROUTINE=2, nprobe=4, qps=2523.00, latency=72.54
DPU, MAX_COROUTINE=2, nprobe=5, qps=2098.00, latency=76.51
DPU, MAX_COROUTINE=2, nprobe=8, qps=1495.00, latency=93.69
DPU, MAX_COROUTINE=2, nprobe=11, qps=1163.00, latency=104.74
DPU, MAX_COROUTINE=4, nprobe=4, qps=3211.00, latency=83.87
DPU, MAX_COROUTINE=4, nprobe=5, qps=2630.00, latency=93.06
DPU, MAX_COROUTINE=4, nprobe=8, qps=1775.00, latency=124.84
DPU, MAX_COROUTINE=4, nprobe=11, qps=1311.00, latency=153.94
DPU, MAX_COROUTINE=8, nprobe=4, qps=3321.00, latency=126.13
DPU, MAX_COROUTINE=8, nprobe=5, qps=2680.00, latency=151.38
DPU, MAX_COROUTINE=8, nprobe=8, qps=1729.00, latency=215.84
DPU, MAX_COROUTINE=8, nprobe=11, qps=1268.00, latency=277.19
DPU, MAX_COROUTINE=16, nprobe=4, qps=3321.00, latency=230.80
DPU, MAX_COROUTINE=16, nprobe=5, qps=2634.00, latency=277.18
DPU, MAX_COROUTINE=16, nprobe=8, qps=1649.00, latency=413.38
DPU, MAX_COROUTINE=16, nprobe=11, qps=1247.00, latency=536.12
